superkingdom	kingdom	phylum	ERR3430527_MERGED_FASTQ	ERR3430526_MERGED_FASTQ	ERR3430525_MERGED_FASTQ	ERR3430515_MERGED_FASTQ	ERR3430514_MERGED_FASTQ	ERR3430530_MERGED_FASTQ	ERR3430524_MERGED_FASTQ	ERR3430523_MERGED_FASTQ	ERR3430522_MERGED_FASTQ	ERR3430521_MERGED_FASTQ	ERR3430520_MERGED_FASTQ	ERR3430519_MERGED_FASTQ	ERR3430518_MERGED_FASTQ	ERR3430517_MERGED_FASTQ	ERR3430516_MERGED_FASTQ	ERR3430513_MERGED_FASTQ	ERR3430512_MERGED_FASTQ
Archaea	Unassigned	Euryarchaeota	2	2	5	2	3	2	0	0	0	3	3	0	0	0	4	4	5
Archaea	Unassigned	Thaumarchaeota	38	24	44	24	26	53	13	69	32	22	16	23	25	41	26	110	99
Archaea	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria	Unassigned	Acidobacteria	2703	2581	3902	2850	2550	2722	1497	3680	2521	1797	1642	1214	2312	2712	2532	5023	5496
Bacteria	Unassigned	Actinobacteria	666	675	1052	877	576	736	385	996	639	588	600	507	727	608	717	1477	1391
Bacteria	Unassigned	Armatimonadetes	261	151	307	255	210	267	123	182	151	118	149	87	182	296	204	510	553
Bacteria	Unassigned	Bacteroidetes	170	287	335	274	203	162	137	438	281	125	179	2585	222	175	216	438	542
Bacteria	Unassigned	Candidatus_Adlerbacteria	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Azambacteria	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1
Bacteria	Unassigned	Candidatus_Berkelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Unassigned	Candidatus_Doudnabacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Bacteria	Unassigned	Candidatus_Hydrogenedentes	0	0	0	0	0	0	0	3	1	2	0	0	1	0	0	0	1
Bacteria	Unassigned	Candidatus_Kaiserbacteria	0	0	1	1	0	0	0	0	0	1	0	1	0	1	2	0	0
Bacteria	Unassigned	Candidatus_Kuenenbacteria	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Latescibacteria	1	0	0	0	3	1	0	2	3	0	1	1	1	0	0	6	6
Bacteria	Unassigned	Candidatus_Lloydbacteria	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Bacteria	Unassigned	Candidatus_Melainabacteria	1	1	1	0	0	0	0	2	3	0	0	0	2	0	1	3	0
Bacteria	Unassigned	Candidatus_Nomurabacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Omnitrophica	2	0	0	2	0	2	0	0	0	0	1	0	1	0	1	3	0
Bacteria	Unassigned	Candidatus_Parcubacteria	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	57	98	187	201	64	62	30	72	53	78	48	50	90	73	147	185	154
Bacteria	Unassigned	Candidatus_Tectomicrobia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Unassigned	Candidatus_Uhrbacteria	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Vogelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Woesebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria	Unassigned	Candidatus_Zambryskibacteria	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	2	2	0	0	0	0	0	1	7	5	0	0	1	1	1	11	1
Bacteria	Unassigned	Chloroflexi	682	607	1241	867	638	743	320	949	626	513	439	332	789	674	686	1481	1384
Bacteria	Unassigned	Cyanobacteria	5	7	3	7	5	6	5	3	5	2	10	4	2	8	6	1	11
Bacteria	Unassigned	Deinococcus-Thermus	0	3	3	0	0	0	0	0	0	0	0	1	0	2	0	0	3
Bacteria	Unassigned	Elusimicrobia	3	2	4	6	4	8	4	1	3	1	3	1	5	3	17	1	8
Bacteria	Unassigned	Fibrobacteres	0	6	3	6	3	0	0	1	1	1	1	1	2	1	7	2	10
Bacteria	Unassigned	Firmicutes	51	36	92	45	59	69	26	73	40	41	52	43	63	34	68	157	137
Bacteria	Unassigned	Gemmatimonadetes	162	110	166	163	109	155	73	111	71	166	102	78	165	184	138	258	246
Bacteria	Unassigned	Ignavibacteriae	0	1	4	2	1	1	6	4	0	4	1	0	1	6	4	10	2
Bacteria	Unassigned	Nitrospinae	2	6	3	7	4	2	0	3	5	1	0	1	2	8	1	5	8
Bacteria	Unassigned	Nitrospirae	1	8	6	6	4	9	1	4	7	7	3	2	5	5	9	5	15
Bacteria	Unassigned	Planctomycetes	525	612	889	847	580	637	328	788	500	436	456	333	697	586	691	1172	1480
Bacteria	Unassigned	Proteobacteria	867	986	1549	1708	926	1167	581	1772	1329	805	4228	1531	1086	1282	1189	2487	2388
Bacteria	Unassigned	Spirochaetes	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	Unassigned	Synergistetes	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Unassigned	54	51	81	47	47	55	23	53	35	26	31	37	52	38	45	82	112
Bacteria	Unassigned	Verrucomicrobia	1005	1017	1252	1259	1056	974	604	1829	940	729	613	500	817	744	1164	1880	2482
Bacteria	Unassigned	candidate_division_NC10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Eukaryota	Viridiplantae	Streptophyta	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
